        numOfIt             y1             y2             tk
            287       0.114287      -0.411782        0.11112
            288       0.114683      -0.411714         0.1115
            289        0.11508      -0.411645       0.111879
            290       0.115476      -0.411575       0.112258
            291       0.115873      -0.411506       0.112637
            292       0.116269      -0.411435       0.113016
            293       0.116665      -0.411364       0.113395
            294       0.117062      -0.411293       0.113774
            295       0.117458      -0.411222       0.114153
            296       0.117855      -0.411149       0.114532
            297       0.118251      -0.411077       0.114911
            298       0.118648      -0.411004        0.11529
            299       0.119044       -0.41093       0.115669
            300       0.119441      -0.410856       0.116047
            301       0.119837      -0.410782       0.116426
            302       0.120233      -0.410707       0.116805
            303        0.12063      -0.410631       0.117183
            304       0.121026      -0.410556       0.117562
            305       0.121423      -0.410479        0.11794
            306       0.121819      -0.410402       0.118319
            307       0.122216      -0.410325       0.118697
            308       0.122612      -0.410247       0.119075
            309       0.123009      -0.410169       0.119454
            310       0.123405      -0.410091       0.119832
            311       0.123802      -0.410012        0.12021
            312       0.124198      -0.409932       0.120588
            313       0.124595      -0.409852       0.120966
            314       0.124991      -0.409772       0.121344
            315       0.125387      -0.409691       0.121722
            316       0.125784      -0.409609         0.1221
            317        0.12618      -0.409527       0.122478
            318       0.126577      -0.409445       0.122856
            319       0.126973      -0.409362       0.123234
            320        0.12737      -0.409279       0.123612
            321       0.127766      -0.409195       0.123989
            322       0.128163      -0.409111       0.124367
            323       0.128559      -0.409026       0.124745
            324       0.128956      -0.408941       0.125122
            325       0.129352      -0.408856         0.1255
            326       0.129749       -0.40877       0.125877
            327       0.130145      -0.408683       0.126255
            328       0.130542      -0.408596       0.126632
            329       0.130938      -0.408509       0.127009
            330       0.131335      -0.408421       0.127387
            331       0.131731      -0.408333       0.127764
            332       0.132128      -0.408244       0.128141
            333       0.132524      -0.408155       0.128518
            334       0.132921      -0.408065       0.128895
            335       0.133317      -0.407975       0.129272
            336       0.133714      -0.407884       0.129649
            337        0.13411      -0.407793       0.130026
            338       0.134507      -0.407702       0.130403
            339       0.134903       -0.40761        0.13078
            340         0.1353      -0.407517       0.131157
            341       0.135697      -0.407424       0.131534
            342       0.136093      -0.407331        0.13191
            343        0.13649      -0.407237       0.132287
            344       0.136886      -0.407143       0.132664
            345       0.137283      -0.407048        0.13304
            346       0.137679      -0.406953       0.133417
            347       0.138076      -0.406857       0.133793
            348       0.138472      -0.406761        0.13417
            349       0.138869      -0.406665       0.134546
            350       0.139265      -0.406568       0.134923
            351       0.139662       -0.40647       0.135299
            352       0.140058      -0.406372       0.135675
            353       0.140455      -0.406274       0.136051
            354       0.140852      -0.406175       0.136428
            355       0.141248      -0.406075       0.136804
            356       0.141645      -0.405976        0.13718
            357       0.142041      -0.405875       0.137556
            358       0.142438      -0.405775       0.137932
            359       0.142834      -0.405674       0.138308
            360       0.143231      -0.405572       0.138684
            361       0.143627       -0.40547        0.13906
            362       0.144024      -0.405367       0.139436
            363       0.144421      -0.405264       0.139811
            364       0.144817      -0.405161       0.140187
            365       0.145214      -0.405057       0.140563
            366        0.14561      -0.404953       0.140939
            367       0.146007      -0.404848       0.141314
            368       0.146403      -0.404743        0.14169
            369         0.1468      -0.404637       0.142065
            370       0.147197      -0.404531       0.142441
            371       0.147593      -0.404424       0.142816
            372        0.14799      -0.404317       0.143192
            373       0.148386      -0.404209       0.143567
            374       0.148783      -0.404101       0.143942
            375       0.149179      -0.403993       0.144318
            376       0.149576      -0.403884       0.144693
            377       0.149973      -0.403774       0.145068
            378       0.150369      -0.403665       0.145443
            379       0.150766      -0.403554       0.145818
            380       0.151162      -0.403444       0.146193
            381       0.151559      -0.403332       0.146568
            382       0.151956      -0.403221       0.146943
            383       0.152352      -0.403109       0.147318
            384       0.152749      -0.402996       0.147693
            385       0.153145      -0.402883       0.148068
            386       0.153542      -0.402769       0.148443
            387       0.153939      -0.402655       0.148817
            388       0.154335      -0.402541       0.149192
            389       0.154732      -0.402426       0.149567
            390       0.155128      -0.402311       0.149941
            391       0.155525      -0.402195       0.150316
            392       0.155922      -0.402079       0.150691
            393       0.156318      -0.401962       0.151065
            394       0.156715      -0.401845        0.15144
            395       0.157111      -0.401728       0.151814
            396       0.157508      -0.401609       0.152188
            397       0.157905      -0.401491       0.152563
            398       0.158301      -0.401372       0.152937
            399       0.158698      -0.401253       0.153311
            400       0.159095      -0.401133       0.153685
            401       0.159491      -0.401012        0.15406
            402       0.159888      -0.400892       0.154434
            403       0.160284       -0.40077       0.154808
            404       0.160681      -0.400649       0.155182
            405       0.161078      -0.400527       0.155556
            406       0.161474      -0.400404        0.15593
            407       0.161871      -0.400281       0.156304
            408       0.162268      -0.400158       0.156678
            409       0.162664      -0.400034       0.157052
            410       0.163061      -0.399909       0.157425
            411       0.163458      -0.399784       0.157799
            412       0.163854      -0.399659       0.158173
            413       0.164251      -0.399533       0.158547
            414       0.164648      -0.399407        0.15892
            415       0.165044       -0.39928       0.159294
            416       0.165441      -0.399153       0.159667
            417       0.165837      -0.399026       0.160041
            418       0.166234      -0.398898       0.160414
            419       0.166631      -0.398769       0.160788
            420       0.167027       -0.39864       0.161161
            421       0.167424      -0.398511       0.161535
            422       0.167821      -0.398381       0.161908
            423       0.168217      -0.398251       0.162281
            424       0.168614       -0.39812       0.162655
            425       0.169011      -0.397989       0.163028
            426       0.169407      -0.397857       0.163401
            427       0.169804      -0.397725       0.163774
            428       0.170201      -0.397593       0.164147
            429       0.170597       -0.39746        0.16452
            430       0.170994      -0.397326       0.164893
            431       0.171391      -0.397192       0.165266
            432       0.171787      -0.397058       0.165639
            433       0.172184      -0.396923       0.166012
            434       0.172581      -0.396788       0.166385
            435       0.172977      -0.396652       0.166758
            436       0.173374      -0.396516       0.167131
            437       0.173771      -0.396379       0.167503
            438       0.174168      -0.396242       0.167876
            439       0.174564      -0.396105       0.168249
            440       0.174961      -0.395967       0.168621
            441       0.175358      -0.395828       0.168994
            442       0.175754       -0.39569       0.169367
            443       0.176151       -0.39555       0.169739
            444       0.176548       -0.39541       0.170112
            445       0.176944       -0.39527       0.170484
            446       0.177341       -0.39513       0.170856
            447       0.177738      -0.394988       0.171229
            448       0.178134      -0.394847       0.171601
            449       0.178531      -0.394705       0.171973
            450       0.178928      -0.394562       0.172346
            451       0.179325      -0.394419       0.172718
            452       0.179721      -0.394276        0.17309
            453       0.180118      -0.394132       0.173462
            454       0.180515      -0.393988       0.173834
            455       0.180911      -0.393843       0.174206
            456       0.181308      -0.393698       0.174578
            457       0.181705      -0.393553        0.17495
            458       0.182102      -0.393406       0.175322
            459       0.182498       -0.39326       0.175694
            460       0.182895      -0.393113       0.176066
            461       0.183292      -0.392966       0.176438
            462       0.183688      -0.392818        0.17681
            463       0.184085      -0.392669       0.177182
            464       0.184482      -0.392521       0.177553
            465       0.184879      -0.392371       0.177925
            466       0.185275      -0.392222       0.178297
            467       0.185672      -0.392072       0.178669
            468       0.186069      -0.391921        0.17904
            469       0.186465       -0.39177       0.179412
            470       0.186862      -0.391619       0.179783
            471       0.187259      -0.391467       0.180155
            472       0.187656      -0.391314       0.180526
            473       0.188052      -0.391162       0.180898
